ImageID,original_firstorder_Minimum,wavelet-LLH_firstorder_Mean,wavelet-LHL_firstorder_Mean,wavelet-LHH_firstorder_Mean,wavelet-LHH_firstorder_Skewness,wavelet-HLL_firstorder_Mean,wavelet-HLH_firstorder_Mean,wavelet-HLH_firstorder_Skewness,wavelet-HHL_firstorder_Mean,wavelet-HHL_firstorder_Skewness,wavelet-HHL_glcm_Idmn,wavelet-HHH_firstorder_Mean,wavelet-HHH_firstorder_Skewness,wavelet-HHH_glcm_Idmn
UCSF-PDGM-0027_T2,0.0,-0.2095364384817308,-0.1813698084061913,0.000396118238307,-0.2425806559478376,-0.0158337285288135,0.0004593719664132,0.0385228997267104,5.818627159667063e-06,0.3070601319940197,0.999671621203076,5.209955193003761e-07,0.7189749986607952,0.9997892876309564
UCSF-PDGM-0471_T2,0.0,-0.018011324057581,-0.0308898416912255,-1.1658647034622431e-06,0.2346874827698498,8.75034276391806e-05,-2.7996629001868866e-18,0.2911140559008506,-2.844429957631449e-18,0.3954162045410745,0.9997298060080888,-2.099574994149993e-18,0.2427580564328944,0.9997360141948152
UCSF-PDGM-0264_T2,0.0,-0.1302456854422327,-0.1634843677902033,0.0014303707351744,0.1230670729548082,9.483823494631737e-14,-1.2185269419127253e-18,0.2121582870535585,2.6165536033140097e-18,0.3857545172004745,0.9992102698438964,1.6482906933805277e-18,0.1921156728190364,0.9996779838616708
UCSF-PDGM-0111_T2,0.0,-0.2185352447667139,-0.1092388112676499,-0.0002551350854579,0.6010016740408377,0.0006042902347239,-1.1474445780385229e-17,0.5924718149395539,7.020765189143679e-18,0.8964269860777005,0.9998387008192926,-2.255467747260999e-18,-0.3594862928414354,0.9998281719807736
UCSF-PDGM-0400_T2,0.0,-0.2401020485569909,-0.0530138395948895,-2.0346381968962053e-17,0.0491255064073798,-0.0007706420344685,-2.0752797222348485e-17,-0.1916123157052588,-6.97815378235712e-18,0.3544954104025861,0.9993085366996476,1.559671908411354e-18,0.2686650348325077,0.9993241363126276
UCSF-PDGM-0329_T2,0.0,-0.1535147278013523,-0.1148110559626683,0.0003861947040154,0.2580080557072792,-0.0190251012024355,-1.5708253358853446e-17,0.2855984833376954,-2.50297979757814e-17,0.3816749811671402,0.9992931430390743,-9.670265609680144e-18,0.0425351582384942,0.999597193112844
UCSF-PDGM-0044_T2,0.0,-0.2472407113175228,-0.1772176255760714,-0.0002432806789515,0.2076860897733088,-0.0070725701388403,-1.416570357571799e-17,0.2646491453792387,-1.6287410659683986e-17,0.2018234792931101,0.9995217189506947,2.3314095611666254e-18,0.1947743062320024,0.999583342664002
UCSF-PDGM-0370_T2,0.0,-0.1013135487238277,0.0718208639679203,-0.001683461496675,0.5567753264057409,9.365243233273921e-14,4.0585017349044724e-18,0.205948984940151,-1.3496877862589292e-17,0.5347563223507315,0.998963165055022,-6.868233705222953e-18,-0.3036744748675833,0.9991780213963506
UCSF-PDGM-0488_T2,0.0,-0.2123487741153532,-0.0660314629390442,-0.0002087297384004,0.3584972279032673,3.255074107727133e-05,-1.6439528976007713e-17,0.3220389640590787,4.218676796358943e-05,0.8472821247390203,0.9995864262975468,-3.993159130943577e-19,-0.1609089345198188,0.9996472901207134
UCSF-PDGM-0346_T2,0.0,-0.1504983865307562,-0.2368417741693871,-3.880933265160764e-17,0.1257082361795788,-0.0105109919189587,-1.7205185997523906e-17,0.0350268021878256,-2.383689943805643e-17,0.3417061819239814,0.9994338761726036,-1.6307712368673583e-18,0.2863734852735462,0.9995785336486792
